scheme_name,sortino_ratio
ABSL Frontline Equity Fund - Regular - Growth,1.7995628746984524
ABSL Liquid Fund - Regular - Growth,-1.6810378667512837
ABSL Small Cap Fund - Regular - Growth,0.27664379626092334
Axis Bluechip Fund - Direct - Growth,0.22108683979276347
Axis Bluechip Fund - Regular - Growth,0.05257398559304797
Axis Midcap Fund - Regular - Growth,1.7037974802463003
Axis Small Cap Fund - Regular - Growth,-0.12818559275851932
DSP Midcap Fund - Regular - Growth,1.875101063919208
DSP Small Cap Fund - Regular - Growth,1.619793176491409
DSP Top 100 Equity Fund - Regular - Growth,0.7621288703723165
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.508812819716923
HDFC Mid-Cap Opportunities Fund - Regular - Growth,1.8291339615146942
HDFC Short Term Debt Fund - Regular - Growth,-0.9418212366054207
HDFC Top 100 Fund - Direct Plan - Growth,1.3306512447571366
HDFC Top 100 Fund - Regular Plan - Growth,-0.35104746015230903
ICICI Pru Bluechip Fund - Direct - Growth,1.8052937940992548
ICICI Pru Bluechip Fund - Regular - Growth,1.3379431500669237
ICICI Pru Liquid Fund - Regular - Growth,1.0521238822609293
ICICI Pru Midcap Fund - Regular - Growth,2.0293529404657464
ICICI Pru Value Discovery Fund - Regular - Growth,1.0958951614736467
Kotak Bluechip Fund - Regular - Growth,0.8625738849916581
Kotak Emerging Equity Fund - Regular - Growth,0.12469346986475664
Kotak Flexicap Fund - Regular - Growth,2.364320032166718
Kotak Liquid Fund - Regular - Growth,-0.1877230477424232
Mirae Asset Emerging Bluechip Fund - Regular - Growth,1.6327409778735162
Mirae Asset Large Cap Fund - Regular - Growth,2.385644373368818
Mirae Asset Tax Saver Fund - Regular - Growth,2.1469139263460555
Nippon India ETF Nifty 50 BeES,1.137976718780742
Nippon India Gilt Securities Fund - Regular - Growth,-0.6135251287271027
Nippon India Large Cap Fund - Direct - Growth,1.1544757169236237
Nippon India Large Cap Fund - Regular - Growth,1.8501325468557264
Nippon India Small Cap Fund - Regular - Growth,0.7460146308533572
SBI Bluechip Fund - Direct Plan - Growth,1.609776489628308
SBI Bluechip Fund - Regular Plan - Growth,2.140267129061793
SBI Magnum Gilt Fund - Regular Plan - Growth,-0.3767670081706672
SBI Small Cap Fund - Direct Plan - Growth,-0.09438726129459607
SBI Small Cap Fund - Regular Plan - Growth,1.6753165700125516
UTI Flexi Cap Fund - Regular - Growth,1.0887552508030014
UTI Mid Cap Fund - Regular - Growth,-0.34722230254727277
UTI Nifty 50 Index Fund - Regular - Growth,1.4357420130649492
