scheme_name,cagr
ABSL Frontline Equity Fund - Regular - Growth,0.2353836133468803
ABSL Liquid Fund - Regular - Growth,0.06509026855465327
ABSL Small Cap Fund - Regular - Growth,0.07938764837247714
Axis Bluechip Fund - Direct - Growth,0.07897557854375958
Axis Bluechip Fund - Regular - Growth,0.06367989237605243
Axis Midcap Fund - Regular - Growth,0.2821441719365203
Axis Small Cap Fund - Regular - Growth,0.015215045330823962
DSP Midcap Fund - Regular - Growth,0.29581086910433996
DSP Small Cap Fund - Regular - Growth,0.3228744045157361
DSP Top 100 Equity Fund - Regular - Growth,0.13393275924001857
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11301817123279978
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.3012315310072722
HDFC Short Term Debt Fund - Regular - Growth,0.04458209619173137
HDFC Top 100 Fund - Direct Plan - Growth,0.19017795344711463
HDFC Top 100 Fund - Regular Plan - Growth,0.026370743672111008
ICICI Pru Bluechip Fund - Direct - Growth,0.2329511862010305
ICICI Pru Bluechip Fund - Regular - Growth,0.18785325598262204
ICICI Pru Liquid Fund - Regular - Growth,0.07237539728384412
ICICI Pru Midcap Fund - Regular - Growth,0.3282740607461121
ICICI Pru Value Discovery Fund - Regular - Growth,0.1708486725575018
Kotak Bluechip Fund - Regular - Growth,0.1353221114899239
Kotak Emerging Equity Fund - Regular - Growth,0.06701543482038463
Kotak Flexicap Fund - Regular - Growth,0.3090745475400549
Kotak Liquid Fund - Regular - Growth,0.06915272985067156
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.2251686900711385
Mirae Asset Large Cap Fund - Regular - Growth,0.3097410750185903
Mirae Asset Tax Saver Fund - Regular - Growth,0.3194952310833252
Nippon India ETF Nifty 50 BeES,0.15957231179671738
Nippon India Gilt Securities Fund - Regular - Growth,0.05316889625171273
Nippon India Large Cap Fund - Direct - Growth,0.16274217354504272
Nippon India Large Cap Fund - Regular - Growth,0.24049492662391758
Nippon India Small Cap Fund - Regular - Growth,0.16373474033415758
SBI Bluechip Fund - Direct Plan - Growth,0.21524235873769704
SBI Bluechip Fund - Regular Plan - Growth,0.25804686425584
SBI Magnum Gilt Fund - Regular Plan - Growth,0.05889418716346717
SBI Small Cap Fund - Direct Plan - Growth,0.02054484701809378
SBI Small Cap Fund - Regular Plan - Growth,0.32423536152454613
UTI Flexi Cap Fund - Regular - Growth,0.16841120247307528
UTI Mid Cap Fund - Regular - Growth,0.011717454918341197
UTI Nifty 50 Index Fund - Regular - Growth,0.18232378887705947
