scheme_name,cagr,sharpe_ratio,alpha,beta,max_drawdown,score
DSP Small Cap Fund - Regular - Growth,0.3228744045157361,0.949795824661604,0.29600297161636324,8.470800185762732e-06,-0.31171900300634214,89.125
SBI Small Cap Fund - Regular Plan - Growth,0.32423536152454613,0.9453082575156091,0.29514293226849303,1.2913569161170515e-05,-0.2870600572176455,87.625
ICICI Pru Midcap Fund - Regular - Growth,0.3282740607461121,1.18010119766065,0.27824886410147365,2.4757676750530896e-05,-0.18188513572116294,86.125
Mirae Asset Tax Saver Fund - Regular - Growth,0.3194952310833252,1.2349300257743292,0.2958614509435513,-2.1656877854961717e-05,-0.1639674294693263,84.125
DSP Midcap Fund - Regular - Growth,0.29581086910433996,1.1321218524747254,0.2602038354528086,9.80470028282651e-06,-0.17248105753451382,76.875
HDFC Mid-Cap Opportunities Fund - Regular - Growth,0.3012315310072722,1.0936987435346308,0.26513763294976106,1.19852368095744e-05,-0.16217208574644848,76.75
Axis Midcap Fund - Regular - Growth,0.2821441719365203,0.9982309868636403,0.2548627791767758,6.6433865814595096e-06,-0.20960883862039192,76.25
Kotak Flexicap Fund - Regular - Growth,0.3090745475400549,1.306743969542841,0.26069258574047605,2.0470576025226028e-05,-0.1297396816518679,75.75
Mirae Asset Large Cap Fund - Regular - Growth,0.3097410750185903,1.4482911703262602,0.27890018238131786,-1.4324631583039166e-05,-0.11265729075028275,75.5
Nippon India Large Cap Fund - Regular - Growth,0.24049492662391758,1.081659179345704,0.2172378301218807,1.3735473143332956e-06,-0.17414075086657232,72.5
SBI Bluechip Fund - Regular Plan - Growth,0.25804686425584,1.2082665673727178,0.2221423476212144,1.5281716990304816e-05,-0.1501238549864533,72.5
Mirae Asset Emerging Bluechip Fund - Regular - Growth,0.2251686900711385,0.9262873467360143,0.21291563403491556,-8.589678643891722e-06,-0.1527259422823477,62.875
ICICI Pru Bluechip Fund - Direct - Growth,0.2329511862010305,1.0265242847993008,0.20293451322522393,1.6351469881022268e-05,-0.12588275606922517,61.375
ABSL Frontline Equity Fund - Regular - Growth,0.2353836133468803,1.0272133278753701,0.2084638832063513,1.0627032523163577e-05,-0.11291596329323073,61.375
ICICI Pru Value Discovery Fund - Regular - Growth,0.1708486725575018,0.6488787755249528,0.16866032864830818,-8.306621887534885e-06,-0.1982565826298267,57.5
SBI Bluechip Fund - Direct Plan - Growth,0.21524235873769704,0.9532794968660109,0.19184076651254145,1.0382317156683725e-05,-0.11803493502764295,57.5
Nippon India Small Cap Fund - Regular - Growth,0.16373474033415758,0.44843400890899154,0.17855030924433077,-6.166188152947608e-07,-0.2334488614483311,56.875
HDFC Top 100 Fund - Direct Plan - Growth,0.19017795344711463,0.7757902498211207,0.1695246831995745,1.594199883625913e-05,-0.15200013055606398,55.875
UTI Flexi Cap Fund - Regular - Growth,0.16841120247307528,0.6195175900829826,0.14810164144013632,2.4964541553620494e-05,-0.21539827112383225,55.375
ICICI Pru Bluechip Fund - Regular - Growth,0.18785325598262204,0.7979728586052846,0.17479241469306583,1.7216209032625439e-06,-0.13897862823061635,53.75
Nippon India Large Cap Fund - Direct - Growth,0.16274217354504272,0.6452074382933218,0.15950537219038657,-7.2092709492735875e-06,-0.18629743138595511,53.5
ABSL Small Cap Fund - Regular - Growth,0.07938764837247714,0.16266076928646783,0.10986145021983551,-4.983428560767387e-06,-0.3544691649336603,49.375
UTI Nifty 50 Index Fund - Regular - Growth,0.18232378887705947,0.817099337349437,0.1532967338395749,2.8517447224854624e-05,-0.1085986215250232,47.25
Kotak Bluechip Fund - Regular - Growth,0.1353221114899239,0.49427253786723485,0.12420932914141217,1.2613604771213124e-05,-0.1757361416468729,46.375
HDFC Mid-Cap Opportunities Fund - Direct - Growth,0.11301817123279978,0.3006119210425479,0.11066738696945455,1.633260265517202e-05,-0.21117279560132118,45.625
Axis Bluechip Fund - Direct - Growth,0.07897557854375958,0.12961449795669322,0.0761056787657296,1.2063897153168888e-05,-0.21751396370148224,43.125
Nippon India ETF Nifty 50 BeES,0.15957231179671738,0.6648569985490621,0.15245254378469922,-1.9476033084582558e-06,-0.1165062450540909,43.0
Kotak Emerging Equity Fund - Regular - Growth,0.06701543482038463,0.07599984804658917,0.07467924324308288,6.739008738076047e-06,-0.24003511326274884,41.0
DSP Top 100 Equity Fund - Regular - Growth,0.13393275924001857,0.46403744922047735,0.1403420187705693,-1.5013454919186106e-05,-0.14844576917771746,40.5
Axis Small Cap Fund - Regular - Growth,0.015215045330823962,-0.07597357117478926,0.06797553326037893,-3.7847623024654286e-05,-0.5167775370852656,35.875
SBI Small Cap Fund - Direct Plan - Growth,0.02054484701809378,-0.05718662582817997,0.05145864988150833,-1.249213514712221e-06,-0.5257422117012851,35.375
HDFC Top 100 Fund - Regular Plan - Growth,0.026370743672111008,-0.2015170675596694,0.03766095903586522,-3.3997164323093836e-06,-0.24734440880673303,29.0
Axis Bluechip Fund - Regular - Growth,0.06367989237605243,0.03078485095458589,0.07280688625534465,-6.036840596409494e-06,-0.1440161790933726,27.125
UTI Mid Cap Fund - Regular - Growth,0.011717454918341197,-0.20583160785470317,0.03192179022619046,-7.302382343552434e-06,-0.2800112356639287,26.25
ICICI Pru Liquid Fund - Regular - Growth,0.07237539728384412,0.49572339295331214,0.06718957546161722,4.4494286648776814e-07,-0.0009773140045925555,25.375
Kotak Liquid Fund - Regular - Growth,0.06915272985067156,-0.08874729621557331,0.06440459165072564,2.40383047175318e-07,-0.0011629327956168556,17.875
SBI Magnum Gilt Fund - Regular Plan - Growth,0.05889418716346717,-0.22657538662791588,0.05669673512017863,-1.1776029814946254e-06,-0.04328728923970093,13.875
ABSL Liquid Fund - Regular - Growth,0.06509026855465327,-0.8155673679088272,0.06122876973199783,-6.172389506592562e-07,-0.0016224980244717857,12.75
Nippon India Gilt Securities Fund - Regular - Growth,0.05316889625171273,-0.356629507514368,0.04967364033576465,1.912627325651111e-06,-0.08316361763638702,12.125
HDFC Short Term Debt Fund - Regular - Growth,0.04458209619173137,-0.5670947928476847,0.044818315138583635,-3.3770718127144e-06,-0.04308263824636349,9.0
